Author,ItemID(LIsting_id),two_bundle_index,diff,only_in_one,only_in_other,in_both
Jiahao,43853759026,"[2, 3]",2,['CC07'],['CC08'],"['CC', 'CC']"
Jiahao,44881048637,"[2, 3]",6,"['CC22', 'UV34', 'XB21']","['CC07', 'UV03', 'XB50']","['CC', 'UV', 'XB', 'CC', 'UV', 'XB']"
Jiahao,522863996797,"[2, 3]",2,['CC06'],['CC07'],"['CC', 'CC']"
Jiahao,36513357018,"[2, 3]",3,['CC05'],"['CC06', 'DC13']","['CC', 'CC', 'DC']"
Jiahao,18352298789,"[2, 3]",1,[],['ZG18'],['ZG']
Jiahao,37241107923,[],,[],[],[]
Jiahao,23969324559,"[2, 3]",4,['CC20'],"['CC19', 'ND03', 'RG03']","['CC', 'CC', 'ND', 'RG']"
Jiahao,24291960195,"[2, 3]",4,['XB35'],"['DC15', 'XB63', 'ZG01']","['XB', 'DC', 'XB', 'ZG']"
Jiahao,43426870825,"[2, 3]",1,[],['DC08'],['DC']
Jiahao,38631814095,"[2, 3]",3,['UV45'],"['PZ08', 'UV02']","['UV', 'PZ', 'UV']"
Jiahao,36574928690,"[2, 3]",7,"['CC17', 'ND01', 'UV34']","['CC16', 'DC07', 'UV31', 'XB60']","['CC', 'ND', 'UV', 'CC', 'DC', 'UV', 'XB']"
Jiahao,44331296085,"[2, 3]",7,"['DK06', 'XB07']","['DK15', 'QT01', 'WD01', 'XB70', 'YK01']","['DK', 'XB', 'DK', 'QT', 'WD', 'XB', 'YK']"
Jiahao,37908516066,[],,[],[],[]
Jiahao,41583985792,[],,[],[],[]
Jiahao,35557065616,[],,[],[],[]
Jiahao,43473279886,"[2, 3]",2,['CC02'],['CC33'],"['CC', 'CC']"
Jiahao,,[],,[],[],[]
Jiahao,44021641588,"[3, 4]",2,['CC07'],['CC08'],"['CC', 'CC']"
Jiahao,18999829018,"[3, 4]",3,['CC40'],"['CC38', 'DC20']","['CC', 'CC', 'DC']"
Jiahao,24596036343,"[3, 4]",5,"['CC22', 'MO03']","['CC23', 'FH02', 'YK05']","['CC', 'MO', 'CC', 'FH', 'YK']"
Jiahao,45219159638,"[3, 4]",2,['CC02'],['CC33'],"['CC', 'CC']"
Jiahao,40565901878,[],,[],[],[]
Jiahao,36613205733,"[3, 4]",2,[],"['RG03', 'ND01']","['RG', 'ND']"
Jiahao,41599133465,[],,[],[],[]
Jiahao,43859660891,"[3, 4]",2,['CC22'],['CC23'],"['CC', 'CC']"
Jiahao,38708270318,"[3, 4]",4,['CC39'],"['CC40', 'XN01', 'PZ08']","['CC', 'CC', 'XN', 'PZ']"
Jiahao,35540978058,"[3, 4]",4,"['CC45', 'UV21']","['CC46', 'UV22']","['CC', 'UV', 'CC', 'UV']"
Jiahao,26519380192,"[3, 4]",8,"['UV26', 'XB44', 'DK12', 'DC20']","['UV27', 'XB39', 'DK17', 'DC02']","['UV', 'XB', 'DK', 'DC', 'UV', 'XB', 'DK', 'DC']"
Jiahao,521513506795,"[3, 4]",2,['CC05'],['CC06'],"['CC', 'CC']"
Jiahao,18053093587,"[3, 4]",4,"['CC07', 'XB08']","['CC08', 'XB09']","['CC', 'XB', 'CC', 'XB']"
Jiahao,42468840454,"[3, 4]",5,"['CC07', 'GJ04']","['CC38', 'SJ02', 'DC21']","['CC', 'GJ', 'CC', 'SJ', 'DC']"
Jiahao,522033862841,"[3, 4]",2,['CC33'],['CC04'],"['CC', 'CC']"
Jiahao,521870063421,"[3, 4]",6,"['CC33', 'MO06']","['SJ01', 'CC01', 'DC04', 'SJ07']","['CC', 'MO', 'SJ', 'CC', 'DC', 'SJ']"
Jiahao,522097809685,"[3, 4]",4,['CC05'],"['CC06', 'UV20', 'PZ08']","['CC', 'CC', 'UV', 'PZ']"
Jiahao,523776961013,"[3, 4]",2,['CC02'],['CC33'],"['CC', 'CC']"
Jiahao,16831203027,"[3, 4]",10,"['BU01', 'CC07']","['CC06', 'GJ02', 'DC03', 'QT04', 'SJ02', 'WD01', 'XN01', 'YK01']","['BU', 'CC', 'CC', 'GJ', 'DC', 'QT', 'SJ', 'WD', 'XN', 'YK']"
Jiahao,19999809846,"[3, 4]",5,['CC07'],"['CC06', 'DC21', 'SJ02', 'XN06']","['CC', 'CC', 'DC', 'SJ', 'XN']"
Jiahao,20167630571,"[3, 4]",4,"['CC07', 'WD01']","['CC08', 'ND01']","['CC', 'WD', 'CC', 'ND']"
Jiahao,27462844289,"[3, 4]",2,['CC07'],['CC08'],"['CC', 'CC']"
Jiahao,36910165248,"[3, 4]",2,['CC02'],['CC33'],"['CC', 'CC']"
Jiahao,37994506504,"[3, 4]",4,['CC39'],"['CC46', 'PZ08', 'XN01']","['CC', 'CC', 'PZ', 'XN']"
Jiahao,38663832002,"[3, 4]",4,['CC07'],"['CC08', 'PZ08', 'XN01']","['CC', 'CC', 'PZ', 'XN']"
Jiahao,39237426326,"[3, 4]",2,['CC33'],['CC04'],"['CC', 'CC']"
Jiahao,41802068265,"[3, 4]",4,[],"['CC33', 'DC10', 'GJ04', 'SJ28']","['CC', 'DC', 'GJ', 'SJ']"
Jiahao,43168072227,"[3, 4]",9,"['CC07', 'DK01']","['CC06', 'DC07', 'DK09', 'ND01', 'QT04', 'SJ01', 'UV03']","['CC', 'DK', 'CC', 'DC', 'DK', 'ND', 'QT', 'SJ', 'UV']"
Jiahao,43736454825,"[3, 4]",4,['SJ01'],"['DC13', 'GJ04', 'SJ02']","['SJ', 'DC', 'GJ', 'SJ']"
Jiahao,44231886556,"[3, 4]",7,"['FW02', 'PZ01']","['FW01', 'GJ01', 'SP01', 'WJ01', 'XN07']","['FW', 'PZ', 'FW', 'GJ', 'SP', 'WJ', 'XN']"
Jiahao,44799642380,"[3, 4]",2,['CC33'],['CC04'],"['CC', 'CC']"
Jiahao,45293052304,"[3, 4]",5,['CC40'],"['CC38', 'DC01', 'FW15', 'SJ07']","['CC', 'CC', 'DC', 'FW', 'SJ']"
Jiahao,45410114111,"[3, 4]",4,"['CC08,CC40,CC46,CC47']","['CC07', 'DC21', 'PZ08']","['CC', 'CC', 'DC', 'PZ']"
Jiahao,522145128789,"[3, 4]",3,['CC07'],"['CC08', 'DC21']","['CC', 'CC', 'DC']"
Jiahao,523084126902,"[3, 4]",0,[],[],[]
Jiahao,18820622609,[],,[],[],[]
Jiahao,20186366493,"[3, 4]",4,"['CC33', 'SJ01']","['CC01', 'DC07']","['CC', 'SJ', 'CC', 'DC']"
Jiahao,20373091017,[],,[],[],[]
Jiahao,20728727154,"[3, 4]",5,"['DC22', 'UV65']","['DC21', 'SJ15', 'UV03']","['DC', 'UV', 'DC', 'SJ', 'UV']"
Jiahao,23896264169,"[3, 4]",2,[],"['DC02', 'WD05']","['DC', 'WD']"
Jiahao,24319152517,"[3, 4]",6,"['CC16', 'DC20', 'XB13']","['CC31', 'DC02', 'XB26']","['CC', 'DC', 'XB', 'CC', 'DC', 'XB']"
Jiahao,35674260254,"[3, 4]",2,['CC07'],['CC08'],"['CC', 'CC']"
Jiahao,36982442137,"[3, 4]",3,"['CC07', 'WD01']",['CC08'],"['CC', 'WD', 'CC']"
Jiahao,37745552927,"[3, 4]",6,['DC12'],"['DC01', 'GJ01', 'SP01', 'WJ01', 'XN07']","['DC', 'DC', 'GJ', 'SP', 'WJ', 'XN']"
Jiahao,37870465778,[],,[],[],[]
Jiahao,40112687054,[],,[],[],[]
Jiahao,40148868087,"[3, 4]",4,"['CC33', 'SJ28']","['CC01', 'SJ07']","['CC', 'SJ', 'CC', 'SJ']"
Jiahao,40175359932,"[3, 4]",3,['CC07'],"['CC24', 'DC01']","['CC', 'CC', 'DC']"
Jiahao,42981617542,"[3, 4]",5,"['CC22', 'MO03']","['CC23', 'FH02', 'YK05']","['CC', 'MO', 'CC', 'FH', 'YK']"
Jiahao,44069100271,"[3, 4]",3,['CC08'],"['CC06', 'DC08']","['CC', 'CC', 'DC']"
Jiahao,522086451970,"[3, 4]",2,[],"['DC08', 'UV58']","['DC', 'UV']"
Jiahao,522743875767,"[3, 4]",2,['CC33'],['CC04'],"['CC', 'CC']"
Jiahao,42681494957,"[3, 4]",8,"['DC05', 'UV36', 'XB05']","['DC02', 'GJ03', 'UV54', 'WD04', 'XB06']","['DC', 'UV', 'XB', 'DC', 'GJ', 'UV', 'WD', 'XB']"
Jiahao,37443266749,"[3, 4]",3,['CC08'],"['CC06', 'DC21']","['CC', 'CC', 'DC']"
Jiahao,43452978184,"[3, 4]",3,['CC39'],"['CC40', 'YK01']","['CC', 'CC', 'YK']"
Jiahao,25673844634,"[3, 4]",2,['CC08'],['CC43'],"['CC', 'CC']"
Jiahao,23924620234,"[3, 4]",6,['CC40'],"['CC06', 'DC02', 'GJ04', 'PZ08', 'SJ29']","['CC', 'CC', 'DC', 'GJ', 'PZ', 'SJ']"
Jiahao,40452911197,"[3, 4]",2,['CC22'],['CC23'],"['CC', 'CC']"
Jiahao,43853759026,"[3, 4]",3,['CC08'],"['CC06', 'DC08']","['CC', 'CC', 'DC']"
Jiahao,44881048637,"[3, 4]",5,['CC07'],"['CC08', 'DK01', 'QT01', 'SJ03']","['CC', 'CC', 'DK', 'QT', 'SJ']"
Jiahao,522863996797,"[3, 4]",2,['CC07'],['CC08'],"['CC', 'CC']"
Jiahao,36513357018,"[3, 4]",2,['CC06'],['CC07'],"['CC', 'CC']"
Jiahao,18352298789,"[3, 4]",3,['DC13'],"['DC02', 'QT15']","['DC', 'DC', 'QT']"
Jiahao,37241107923,[],,[],[],[]
Jiahao,23969324559,"[3, 4]",8,"['DC14', 'UV36', 'XB05']","['DC02', 'GJ03', 'UV54', 'WD04', 'XB06']","['DC', 'UV', 'XB', 'DC', 'GJ', 'UV', 'WD', 'XB']"
Jiahao,24291960195,"[3, 4]",2,['DC15'],['DC02'],"['DC', 'DC']"
Jiahao,43426870825,"[3, 4]",2,['DC08'],['DC07'],"['DC', 'DC']"
Jiahao,38631814095,[],,[],[],[]
Jiahao,36574928690,"[3, 4]",2,['CC16'],['CC15'],"['CC', 'CC']"
Jiahao,44331296085,[],,[],[],[]
Jiahao,37908516066,[],,[],[],[]
Jiahao,41583985792,[],,[],[],[]
Jiahao,35557065616,[],,[],[],[]
Jiahao,43473279886,"[3, 4]",3,['CC33'],"['CC02', 'DC07']","['CC', 'CC', 'DC']"
Jiahao,,[],,[],[],[]
Jiahao,44021641588,[],,[],[],[]
Jiahao,18999829018,"[4, 5]",2,['CC38'],['CC39'],"['CC', 'CC']"
Jiahao,24596036343,"[4, 5]",4,"['CC23', 'DC08']","['CC19', 'DC09']","['CC', 'DC', 'CC', 'DC']"
Jiahao,45219159638,[],,[],[],[]
Jiahao,40565901878,[],,[],[],[]
Jiahao,36613205733,"[4, 5]",7,"['UV36', 'DC14', 'EJ01']","['UV54', 'DC02', 'WD04', 'EJ02']","['UV', 'DC', 'EJ', 'UV', 'DC', 'WD', 'EJ']"
Jiahao,41599133465,[],,[],[],[]
Jiahao,43859660891,"[4, 5]",3,['CC23'],"['DC01', 'CC24']","['CC', 'DC', 'CC']"
Jiahao,38708270318,"[4, 5]",5,"['CC40', 'XN01', 'PZ08']","['CC05', 'DC01']","['CC', 'XN', 'PZ', 'CC', 'DC']"
Jiahao,35540978058,"[4, 5]",4,"['DC15', 'PZ09']","['DC01', 'PZ02']","['DC', 'PZ', 'DC', 'PZ']"
Jiahao,26519380192,"[4, 5]",6,"['UV27', 'XB39']","['UV24', 'XB40', 'QT04', 'SJ10']","['UV', 'XB', 'UV', 'XB', 'QT', 'SJ']"
Jiahao,521513506795,"[4, 5]",3,['CC06'],"['CC07', 'ND01']","['CC', 'CC', 'ND']"
Jiahao,18053093587,"[4, 5]",5,['CC08'],"['CC07', 'DC15', 'YK04', 'SJ25']","['CC', 'CC', 'DC', 'YK', 'SJ']"
Jiahao,42468840454,"[4, 5]",2,['CC38'],['CC07'],"['CC', 'CC']"
Jiahao,522033862841,"[4, 5]",7,"['CC04', 'SJ02']","['CC01', 'DC01', 'BJ01', 'PZ01', 'SJ03']","['CC', 'SJ', 'CC', 'DC', 'BJ', 'PZ', 'SJ']"
Jiahao,521870063421,"[4, 5]",4,"['SJ01', 'CC01']","['MO06', 'CC02']","['SJ', 'CC', 'MO', 'CC']"
Jiahao,522097809685,"[4, 5]",2,['CC06'],['CC07'],"['CC', 'CC']"
Jiahao,523776961013,"[4, 5]",2,['CC33'],['CC04'],"['CC', 'CC']"
Jiahao,16831203027,"[4, 5]",3,['CC06'],"['BU01', 'CC07']","['CC', 'BU', 'CC']"
Jiahao,19999809846,"[4, 5]",3,['CC06'],"['BJ02', 'CC07']","['CC', 'BJ', 'CC']"
Jiahao,20167630571,"[4, 5]",2,[],"['SJ01', 'WD01']","['SJ', 'WD']"
Jiahao,27462844289,"[4, 5]",6,"['CC08', 'XB05']","['CC07', 'PZ03', 'SJ01', 'XB19']","['CC', 'XB', 'CC', 'PZ', 'SJ', 'XB']"
Jiahao,36910165248,"[4, 5]",2,['CC33'],['CC04'],"['CC', 'CC']"
Jiahao,37994506504,"[4, 5]",5,"['CC46', 'PZ08', 'XN01']","['CC05', 'DC01']","['CC', 'PZ', 'XN', 'CC', 'DC']"
Jiahao,38663832002,"[4, 5]",5,"['CC08', 'PZ08', 'XN01']","['CC05', 'DC01']","['CC', 'PZ', 'XN', 'CC', 'DC']"
Jiahao,39237426326,[],,[],[],[]
Jiahao,41802068265,"[4, 5]",2,['CC33'],['CC04'],"['CC', 'CC']"
Jiahao,43168072227,"[4, 5]",2,['CC06'],['CC07'],"['CC', 'CC']"
Jiahao,43736454825,"[4, 5]",2,['CC07'],['CC08'],"['CC', 'CC']"
Jiahao,44231886556,[],,[],[],[]
Jiahao,44799642380,"[4, 5]",7,"['CC04', 'SJ28']","['BJ01', 'CC01', 'DC01', 'PZ01', 'SJ03']","['CC', 'SJ', 'BJ', 'CC', 'DC', 'PZ', 'SJ']"
Jiahao,45293052304,"[4, 5]",2,['CC38'],['CC39'],"['CC', 'CC']"
Jiahao,45410114111,"[4, 5]",4,"['CC07', 'SJ07']","['CC08,CC40,CC46,CC47', 'SJ03']","['CC', 'SJ', 'CC', 'SJ']"
Jiahao,522145128789,"[4, 5]",2,['CC08'],['CC01'],"['CC', 'CC']"
Jiahao,523084126902,"[4, 5]",2,['DC21'],['DC01'],"['DC', 'DC']"
Jiahao,18820622609,[],,[],[],[]
Jiahao,20186366493,"[4, 5]",3,['CC01'],"['CC02', 'SJ01']","['CC', 'CC', 'SJ']"
Jiahao,20373091017,[],,[],[],[]
Jiahao,20728727154,"[4, 5]",8,"['DC21', 'DK13', 'UV03', 'XB52']","['DC01', 'RG01', 'UV51', 'XB54']","['DC', 'DK', 'UV', 'XB', 'DC', 'RG', 'UV', 'XB']"
Jiahao,23896264169,"[4, 5]",5,"['CC07', 'UV03']","['CC08', 'SJ29', 'UV43']","['CC', 'UV', 'CC', 'SJ', 'UV']"
Jiahao,24319152517,"[4, 5]",1,[],['SJ11'],['SJ']
Jiahao,35674260254,"[4, 5]",3,['CC08'],"['CC06', 'DC01']","['CC', 'CC', 'DC']"
Jiahao,36982442137,"[4, 5]",12,"['CC08', 'UV62', 'XB08', 'ZG07']","['CC07', 'DC15', 'FW02', 'SJ01', 'UV63', 'XB09', 'YK04', 'ZG01']","['CC', 'UV', 'XB', 'ZG', 'CC', 'DC', 'FW', 'SJ', 'UV', 'XB', 'YK', 'ZG']"
Jiahao,37745552927,"[4, 5]",15,"['CC04', 'DC01', 'FD01', 'GJ01', 'RG02', 'SJ03', 'SP01', 'UV01', 'WJ01', 'XB07', 'XN07']","['CC02', 'SJ06', 'XB06', '']","['CC', 'DC', 'FD', 'GJ', 'RG', 'SJ', 'SP', 'UV', 'WJ', 'XB', 'XN', 'CC', 'SJ', 'XB', '']"
Jiahao,37870465778,[],,[],[],[]
Jiahao,40112687054,[],,[],[],[]
Jiahao,40148868087,"[4, 5]",2,['CC01'],['CC02'],"['CC', 'CC']"
Jiahao,40175359932,"[4, 5]",2,['CC24'],['CC06'],"['CC', 'CC']"
Jiahao,42981617542,"[4, 5]",4,"['CC23', 'DC08']","['CC19', 'DC09']","['CC', 'DC', 'CC', 'DC']"
Jiahao,44069100271,"[4, 5]",2,['CC06'],['CC07'],"['CC', 'CC']"
Jiahao,522086451970,"[4, 5]",2,['DC08'],['DC01'],"['DC', 'DC']"
Jiahao,522743875767,"[4, 5]",3,['CC04'],"['CC01', 'DC01']","['CC', 'CC', 'DC']"
Jiahao,42681494957,"[4, 5]",2,['CC19'],['CC15'],"['CC', 'CC']"
Jiahao,37443266749,"[4, 5]",2,['CC06'],['CC07'],"['CC', 'CC']"
Jiahao,43452978184,[],,[],[],[]
Jiahao,25673844634,[],,[],[],[]
Jiahao,23924620234,"[4, 5]",2,['CC06'],['CC38'],"['CC', 'CC']"
Jiahao,40452911197,"[4, 5]",7,['CC23'],"['QT02', 'CC24', 'DC21', 'JB01', 'QC02', 'QT19']","['CC', 'QT', 'CC', 'DC', 'JB', 'QC', 'QT']"
Jiahao,43853759026,"[4, 5]",2,['CC06'],['CC07'],"['CC', 'CC']"
Jiahao,44881048637,[],,[],[],[]
Jiahao,522863996797,[],,[],[],[]
Jiahao,36513357018,"[4, 5]",2,['CC07'],['CC08'],"['CC', 'CC']"
Jiahao,18352298789,"[4, 5]",4,"['CC16', 'DC02']","['CC13', 'DC13']","['CC', 'DC', 'CC', 'DC']"
Jiahao,37241107923,[],,[],[],[]
Jiahao,23969324559,"[4, 5]",2,['CC19'],['CC18'],"['CC', 'CC']"
Jiahao,24291960195,"[4, 5]",4,"['DC02', 'UV36']","['DC15', 'UV54']","['DC', 'UV', 'DC', 'UV']"
Jiahao,43426870825,"[4, 5]",2,['CC21'],['CC22'],"['CC', 'CC']"
Jiahao,38631814095,[],,[],[],[]
Jiahao,36574928690,"[4, 5]",0,[],[],[]
Jiahao,44331296085,[],,[],[],[]
Jiahao,37908516066,[],,[],[],[]
Jiahao,41583985792,[],,[],[],[]
Jiahao,35557065616,[],,[],[],[]
Jiahao,43473279886,"[4, 5]",2,['CC02'],['CC33'],"['CC', 'CC']"
Jiahao,,[],,[],[],[]
Jiahao,44021641588,[],,[],[],[]
Jiahao,18999829018,"[5, 6]",2,['CC39'],['CC40'],"['CC', 'CC']"
Jiahao,24596036343,"[5, 6]",3,['CC19'],"['CC15', 'PZ07']","['CC', 'CC', 'PZ']"
Jiahao,45219159638,[],,[],[],[]
Jiahao,40565901878,[],,[],[],[]
Jiahao,36613205733,"[5, 6]",3,['CC16'],"['CC15', 'BD03']","['CC', 'CC', 'BD']"
Jiahao,41599133465,[],,[],[],[]
Jiahao,43859660891,"[5, 6]",2,['CC24'],['CC21'],"['CC', 'CC']"
Jiahao,38708270318,"[5, 6]",3,['CC05'],"['CC38', 'SJ01']","['CC', 'CC', 'SJ']"
Jiahao,35540978058,[],,[],[],[]
Jiahao,26519380192,"[5, 6]",6,"['CC08', 'UV24', 'SJ10']","['CC43', 'UV28', 'SJ22']","['CC', 'UV', 'SJ', 'CC', 'UV', 'SJ']"
Jiahao,521513506795,"[5, 6]",7,"['SJ23', 'CC07', 'DC14']","['SJ07', 'CC05', 'DC02', 'PZ01']","['SJ', 'CC', 'DC', 'SJ', 'CC', 'DC', 'PZ']"
Jiahao,18053093587,"[5, 6]",2,['CC07'],['CC08'],"['CC', 'CC']"
Jiahao,42468840454,"[5, 6]",5,"['CC07', 'DC21']","['CC38', 'DC01', 'XN01']","['CC', 'DC', 'CC', 'DC', 'XN']"
Jiahao,522033862841,"[5, 6]",3,"['CC01', 'JC04']",['CC02'],"['CC', 'JC', 'CC']"
Jiahao,521870063421,"[5, 6]",2,['CC02'],['CC33'],"['CC', 'CC']"
Jiahao,522097809685,"[5, 6]",4,"['CC07', 'UV20', 'PZ08']",['CC06'],"['CC', 'UV', 'PZ', 'CC']"
Jiahao,523776961013,"[5, 6]",6,['CC04'],"['CC33', 'XB61', 'XB03', 'WJ01', 'XN07']","['CC', 'CC', 'XB', 'XB', 'WJ', 'XN']"
Jiahao,16831203027,"[5, 6]",6,"['CC07', 'DC03']","['CC06', 'DC02', 'ND01', 'PZ06']","['CC', 'DC', 'CC', 'DC', 'ND', 'PZ']"
Jiahao,19999809846,"[5, 6]",5,"['CC07', 'DC21']","['CC06', 'DC01', 'XN01']","['CC', 'DC', 'CC', 'DC', 'XN']"
Jiahao,20167630571,[],,[],[],[]
Jiahao,27462844289,"[5, 6]",2,['CC07'],['CC08'],"['CC', 'CC']"
Jiahao,36910165248,"[5, 6]",6,"['CC04', 'XB60']","['CC33', 'WJ01', 'XB68', 'XN07']","['CC', 'XB', 'CC', 'WJ', 'XB', 'XN']"
