Author,ItemID(LIsting_id),another_bundle_index,diff,only_in_one,only_in_other,in_both
Jiahao,36513357018,2,7,"['FD01', 'SP01', 'YK01', 'UV01', 'ZG01', 'GJ01']",['CC06'],"['FD01', 'SP01', 'YK01', 'UV01', 'ZG01', 'GJ01', 'CC06']"
Jiahao,35674260254,2,6,['CC06'],"['SP01', 'UV01', 'ZG01', 'GJ01', 'CC07']","['CC06', 'SP01', 'UV01', 'ZG01', 'GJ01', 'CC07']"
Jiahao,35557065616,2,bundle_index = 1 does not exist,[],[],[]
Jiahao,35540978058,2,bundle_index = 1 does not exist,[],[],[]
Jiahao,27462844289,2,9,"['CC02', 'FW20']","['CC33', 'DC21', 'FD01', 'FW02', 'JB01', 'JD03', 'UV01']","['CC02', 'FW20', 'CC33', 'DC21', 'FD01', 'FW02', 'JB01', 'JD03', 'UV01']"
Jiahao,26519380192,2,3,['CC01'],"['CC33', 'SJ01']","['CC01', 'CC33', 'SJ01']"
Jiahao,25673844634,2,bundle_index = 1 does not exist,[],[],[]
Jiahao,24596036343,2,6,"['CC21', 'DC07']","['CC22', 'MO04', 'YK13', 'CC02']","['CC21', 'DC07', 'CC22', 'MO04', 'YK13', 'CC02']"
Jiahao,24319152517,2,2,['DC07'],['CC02'],"['DC07', 'CC02']"
Jiahao,24291960195,2,8,"['CC38', 'SP02', 'UV60', 'WD01', 'XB07', 'YK01', 'ZG01']",['CC39'],"['CC38', 'SP02', 'UV60', 'WD01', 'XB07', 'YK01', 'ZG01', 'CC39']"
Jiahao,23969324559,2,5,['CC06'],"['SP02', 'UV60', 'YK01', 'CC07']","['CC06', 'SP02', 'UV60', 'YK01', 'CC07']"
Jiahao,23924620234,2,bundle_index = 1 does not exist,[],[],[]
Jiahao,23896264169,2,2,['CC01'],['CC02'],"['CC01', 'CC02']"
Jiahao,20728727154,2,2,['CC01'],['CC02'],"['CC01', 'CC02']"
Jiahao,20373091017,2,bundle_index = 1 does not exist,[],[],[]
Jiahao,20186366493,2,2,['CC05'],['CC07'],"['CC05', 'CC07']"
Jiahao,20167630571,2,bundle_index = 1 does not exist,[],[],[]
Jiahao,19999809846,2,4,['CC01'],"['CC06', 'SJ01', 'CC02']","['CC01', 'CC06', 'SJ01', 'CC02']"
Jiahao,18999829018,2,bundle_index = 1 does not exist,[],[],[]
Jiahao,18820622609,2,15,"['DC01', 'DK01', 'FD01', 'GJ01', 'JB01', 'JZ03', 'QC02', 'SJ28', 'SP01', 'MO08', 'UV01', 'XB07', 'YK01', 'ZG01']",['CC06'],"['DC01', 'DK01', 'FD01', 'GJ01', 'JB01', 'JZ03', 'QC02', 'SJ28', 'SP01', 'MO08', 'UV01', 'XB07', 'YK01', 'ZG01', 'CC06']"
Jiahao,18352298789,2,23,"['BU04', 'CC07', 'FP01', 'FW06', 'FW07', 'JZ01', 'MO09', 'ND01', 'QT01', 'UV02', 'WD01']","['DC01', 'GJ01', 'JB01', 'JZ03', 'QC02', 'SJ28', 'SP01', 'MO08', 'UV01', 'XB07', 'YK01', 'ZG01']","['BU04', 'CC07', 'FP01', 'FW06', 'FW07', 'JZ01', 'MO09', 'ND01', 'QT01', 'UV02', 'WD01', 'DC01', 'GJ01', 'JB01', 'JZ03', 'QC02', 'SJ28', 'SP01', 'MO08', 'UV01', 'XB07', 'YK01', 'ZG01']"
Jiahao,18053093587,2,13,[],"['BU04', 'CC08,CC40,CC46,CC47', 'DK01', 'FD01', 'FP01', 'FW06', 'FW07', 'JZ01', 'MO09', 'ND01', 'QT01', 'UV02', 'WD01']","['BU04', 'CC08,CC40,CC46,CC47', 'DK01', 'FD01', 'FP01', 'FW06', 'FW07', 'JZ01', 'MO09', 'ND01', 'QT01', 'UV02', 'WD01']"
Jiahao,16831203027,2,4,"['CC02', 'CC05']","['CC33', 'CC06']","['CC02', 'CC05', 'CC33', 'CC06']"
Jiahao,5.23084E+11,3,12,"['CC06', 'UV48', 'XB35', 'DK01', 'MO01', 'UV12', 'XB07']","['CC07', 'UV30', 'XB08', 'ZG07', 'FW03']","['CC06', 'UV48', 'XB35', 'DK01', 'MO01', 'UV12', 'XB07', 'CC07', 'UV30', 'XB08', 'ZG07', 'FW03']"
Jiahao,5.21514E+11,3,9,['CC05'],"['BU01', 'CC07', 'CC40', 'DK01', 'JD03', 'UV02', 'XB05', 'YK01']","['CC05', 'BU01', 'CC07', 'CC40', 'DK01', 'JD03', 'UV02', 'XB05', 'YK01']"
Jiahao,5.23777E+11,3,bundle_index = 1 does not exist,[],[],[]
Jiahao,5.22864E+11,3,15,"['CC07', 'JZ02', 'MO04', 'MO10', 'QC02', 'UV38', 'XB06']","['DC13', 'MO01', 'UV12', 'XB07', 'YK05', 'ZG18', 'CC43', 'DC20']","['CC07', 'JZ02', 'MO04', 'MO10', 'QC02', 'UV38', 'XB06', 'DC13', 'MO01', 'UV12', 'XB07', 'YK05', 'ZG18', 'CC43', 'DC20']"
Jiahao,5.22744E+11,3,17,"['CC38', 'CC06', 'UV01', 'WD01', 'XB35', 'YK02', 'ZG01']","['JZ02', 'MO04', 'MO10', 'QC02', 'UV39', 'XB06', 'CC40', 'CC07', 'GJ01', 'QT01']","['CC38', 'CC06', 'UV01', 'WD01', 'XB35', 'YK02', 'ZG01', 'JZ02', 'MO04', 'MO10', 'QC02', 'UV39', 'XB06', 'CC40', 'CC07', 'GJ01', 'QT01']"
Jiahao,5.22145E+11,3,bundle_index = 1 does not exist,[],[],[]
Jiahao,5.22098E+11,3,8,"['CC06', 'XB35', 'CC01']","['CC07', 'DC07', 'SP02', 'CC33', 'SJ01']","['CC06', 'XB35', 'CC01', 'CC07', 'DC07', 'SP02', 'CC33', 'SJ01']"
Jiahao,5.22086E+11,3,bundle_index = 1 does not exist,[],[],[]
Jiahao,5.22034E+11,3,10,"['CC25', 'CC17', 'UV53', 'YK05']","['CC27', 'CC15', 'DC22', 'UV65', 'XN07', 'YK01']","['CC25', 'CC17', 'UV53', 'YK05', 'CC27', 'CC15', 'DC22', 'UV65', 'XN07', 'YK01']"
Jiahao,5.2187E+11,3,5,"['CC19', 'UV34']","['CC07', 'UV03', 'YK02']","['CC19', 'UV34', 'CC07', 'UV03', 'YK02']"
Jiahao,45410114111,3,9,"['CC24', 'XB35']","['CC19', 'DC14', 'JB01', 'ND03', 'RG03', 'XB05', 'XN01']","['CC24', 'XB35', 'CC19', 'DC14', 'JB01', 'ND03', 'RG03', 'XB05', 'XN01']"
Jiahao,45293052304,3,7,"['CC05', 'XB35']","['CC29', 'DC15', 'UV36', 'XB63', 'ZG01']","['CC05', 'XB35', 'CC29', 'DC15', 'UV36', 'XB63', 'ZG01']"
Jiahao,45219159638,3,16,"['CC06', 'UV16', 'XB05', 'CC21']","['CC16', 'DC20', 'JB03', 'QT05', 'UV47', 'WD01', 'XB13', 'YK05', 'CC22', 'DC08', 'JB01', 'ZG09']","['CC06', 'UV16', 'XB05', 'CC21', 'CC16', 'DC20', 'JB03', 'QT05', 'UV47', 'WD01', 'XB13', 'YK05', 'CC22', 'DC08', 'JB01', 'ZG09']"
Jiahao,44881048637,3,bundle_index = 1 does not exist,[],[],[]
Jiahao,44799642380,3,12,"['CC06', 'CC07', 'UV25']","['CC08', 'FW01', 'SP02', 'UV01', 'XN01', 'XN07', 'ZG01', 'UV26', 'DC20']","['CC06', 'CC07', 'UV25', 'CC08', 'FW01', 'SP02', 'UV01', 'XN01', 'XN07', 'ZG01', 'UV26', 'DC20']"
Jiahao,44331296085,3,bundle_index = 1 does not exist,[],[],[]
Jiahao,44231886556,3,3,['CC06'],"['CC07', 'DC02']","['CC06', 'CC07', 'DC02']"
Jiahao,44069100271,3,7,"['CC06', 'CC05']","['CC45', 'UV21', 'DC15', 'PZ09', 'CC07']","['CC06', 'CC05', 'CC45', 'UV21', 'DC15', 'PZ09', 'CC07']"
Jiahao,44021641588,3,11,[],"['BU01', 'CC06', 'DC13', 'DK01', 'FD01', 'QT01', 'SP01', 'JD03', 'UV29', 'WD01', 'YK01']","['BU01', 'CC06', 'DC13', 'DK01', 'FD01', 'QT01', 'SP01', 'JD03', 'UV29', 'WD01', 'YK01']"
Jiahao,43859660891,3,13,"['CC17', 'ND01', 'CC24', 'XB35']","['ZG01', 'CC16', 'DC07', 'UV31', 'XB60', 'XB36', 'DC14', 'EJ01', 'YD01']","['CC17', 'ND01', 'CC24', 'XB35', 'ZG01', 'CC16', 'DC07', 'UV31', 'XB60', 'XB36', 'DC14', 'EJ01', 'YD01']"
Jiahao,43853759026,3,5,[],"['FW01', 'ND01', 'XB60', 'XN01', 'YK01']","['FW01', 'ND01', 'XB60', 'XN01', 'YK01']"
Jiahao,43736454825,3,18,"['CC06', 'CC19', 'DK05', 'UV34', 'UV61', 'XB06', 'XB35', 'QT01', 'MO01', 'XB07']","['CC39', 'CC07', 'DK01', 'UV57', 'UV62', 'XB08', 'XB69', 'ZG07']","['CC06', 'CC19', 'DK05', 'UV34', 'UV61', 'XB06', 'XB35', 'QT01', 'MO01', 'XB07', 'CC39', 'CC07', 'DK01', 'UV57', 'UV62', 'XB08', 'XB69', 'ZG07']"
Jiahao,43473279886,3,bundle_index = 2 does not exist,[],[],[]
Jiahao,43452978184,3,11,"['SJ04', 'SP02', 'UV01', 'XB06', 'YK01', 'ZG03']","['BU01', 'CC08', 'DK01', 'FD01', 'FW08']","['SJ04', 'SP02', 'UV01', 'XB06', 'YK01', 'ZG03', 'BU01', 'CC08', 'DK01', 'FD01', 'FW08']"
Jiahao,43426870825,3,bundle_index = 1 does not exist,[],[],[]
Jiahao,43168072227,3,18,"['CC02', 'CC19', 'MO01', 'CC05', 'CC07', 'DC15', 'QT14', 'SP03', 'UV45', 'XB04', 'XN01', 'YK05']","['CC04', 'DC12', 'RG02', 'SJ03', 'UV01', 'CC39']","['CC02', 'CC19', 'MO01', 'CC05', 'CC07', 'DC15', 'QT14', 'SP03', 'UV45', 'XB04', 'XN01', 'YK05', 'CC04', 'DC12', 'RG02', 'SJ03', 'UV01', 'CC39']"
Jiahao,42981617542,3,14,['CC05'],"['CC08', 'DC15', 'FD05', 'PZ08', 'QT14', 'SP03', 'MO01', 'UV02', 'XB06', 'XN01', 'XN07', 'ZG01', 'CC07']","['CC05', 'CC08', 'DC15', 'FD05', 'PZ08', 'QT14', 'SP03', 'MO01', 'UV02', 'XB06', 'XN01', 'XN07', 'ZG01', 'CC07']"
Jiahao,42681494957,3,2,['CC05'],['CC39'],"['CC05', 'CC39']"
Jiahao,42468840454,3,14,"['CC02', 'CC01', 'JB01', 'JD01', 'MO02', 'PZ01', 'QC02', 'RG02', 'SJ28', 'SP02', 'UV01', 'XB07']","['CC33', 'DC10']","['CC02', 'CC01', 'JB01', 'JD01', 'MO02', 'PZ01', 'QC02', 'RG02', 'SJ28', 'SP02', 'UV01', 'XB07', 'CC33', 'DC10']"
Jiahao,41802068265,3,10,['CC24'],"['JB01', 'JD01', 'MO02', 'PZ01', 'QC02', 'SJ28', 'UV01', 'XB07', 'CC07']","['CC24', 'JB01', 'JD01', 'MO02', 'PZ01', 'QC02', 'SJ28', 'UV01', 'XB07', 'CC07']"
Jiahao,41599133465,3,bundle_index = 1 does not exist,[],[],[]
Jiahao,41583985792,3,bundle_index = 1 does not exist,[],[],[]
Jiahao,40565901878,3,bundle_index = 1 does not exist,[],[],[]
Jiahao,40452911197,3,2,['CC24'],['CC22'],"['CC24', 'CC22']"
Jiahao,40175359932,3,15,"['UV01', 'MO04', 'SP02', 'YK01', 'FW07', 'JC04', 'CC02', 'XB35']","['DK15', 'QC02', 'UV19', 'CC07', 'XB65', 'DC20', 'WD01']","['UV01', 'MO04', 'SP02', 'YK01', 'FW07', 'JC04', 'CC02', 'XB35', 'DK15', 'QC02', 'UV19', 'CC07', 'XB65', 'DC20', 'WD01']"
Jiahao,40148868087,3,9,"['JZ02', 'DK12', 'RG02', 'FD01', 'FW15', 'CC38', 'XB06', 'UV20', 'ZG07']",[],"['JZ02', 'DK12', 'RG02', 'FD01', 'FW15', 'CC38', 'XB06', 'UV20', 'ZG07']"
Jiahao,40112687054,3,bundle_index = 1 does not exist,[],[],[]
Jiahao,39237426326,3,bundle_index = 1 does not exist,[],[],[]
Jiahao,38708270318,3,9,"['CC24', 'XB35']","['CC19', 'DC05', 'JB01', 'ND03', 'RG03', 'XB05', 'XN01']","['CC24', 'XB35', 'CC19', 'DC05', 'JB01', 'ND03', 'RG03', 'XB05', 'XN01']"
Jiahao,38663832002,3,5,['CC21'],"['CC22', 'DC08', 'JB01', 'ZG09']","['CC21', 'CC22', 'DC08', 'JB01', 'ZG09']"
Jiahao,38631814095,3,bundle_index = 2 does not exist,[],[],[]
Jiahao,37994506504,3,bundle_index = 1 does not exist,[],[],[]
Jiahao,37908516066,3,bundle_index = 1 does not exist,[],[],[]
Jiahao,37870465778,3,bundle_index = 1 does not exist,[],[],[]
Jiahao,37745552927,3,bundle_index = 1 does not exist,[],[],[]
Jiahao,37443266749,3,11,"['CC20', 'CC38', 'UV01', 'DC07']","['CC21', 'DC08', 'WD01', 'CC39', 'SJ09', 'UV10', 'CC33']","['CC20', 'CC38', 'UV01', 'DC07', 'CC21', 'DC08', 'WD01', 'CC39', 'SJ09', 'UV10', 'CC33']"
Jiahao,37241107923,3,bundle_index = 2 does not exist,[],[],[]
Jiahao,36982442137,3,13,['XB65'],"['CC07', 'DK05', 'FD01', 'FD05', 'FH01', 'JC08', 'MO02', 'ND01', 'QT04', 'RG01', 'WD05', 'XB05']","['XB65', 'CC07', 'DK05', 'FD01', 'FD05', 'FH01', 'JC08', 'MO02', 'ND01', 'QT04', 'RG01', 'WD05', 'XB05']"
Jiahao,36910165248,3,2,['CC06'],['CC08'],"['CC06', 'CC08']"
Jiahao,36613205733,3,2,['CC24'],['CC22'],"['CC24', 'CC22']"
Jiahao,36574928690,3,bundle_index = 1 does not exist,[],[],[]
Jiahao,36513357018,3,bundle_index = 2 does not exist,[],[],[]
Jiahao,35674260254,3,14,['CC06'],"['CC07', 'DC01', 'MO08', 'BU01', 'SJ28', 'JB01', 'QC02', 'JZ03', 'SP01', 'UV01', 'ZG01', 'GJ01', 'CC08']","['CC06', 'CC07', 'DC01', 'MO08', 'BU01', 'SJ28', 'JB01', 'QC02', 'JZ03', 'SP01', 'UV01', 'ZG01', 'GJ01', 'CC08']"
Jiahao,35557065616,3,bundle_index = 1 does not exist,[],[],[]
Jiahao,35540978058,3,bundle_index = 1 does not exist,[],[],[]
Jiahao,27462844289,3,14,"['BU01', 'CC02', 'FW20', 'QC02']","['CC04', 'DC21', 'FD01', 'FW02', 'JD03', 'PZ01', 'QT03', 'RG02', 'SJ01', 'UV01']","['BU01', 'CC02', 'FW20', 'QC02', 'CC04', 'DC21', 'FD01', 'FW02', 'JD03', 'PZ01', 'QT03', 'RG02', 'SJ01', 'UV01']"
Jiahao,26519380192,3,9,"['CC02', 'DK06', 'XB07', 'CC01']","['CC33', 'DK15', 'QT01', 'SJ01', 'XB70']","['CC02', 'DK06', 'XB07', 'CC01', 'CC33', 'DK15', 'QT01', 'SJ01', 'XB70']"
Jiahao,25673844634,3,bundle_index = 1 does not exist,[],[],[]
Jiahao,24596036343,3,9,"['CC21', 'UV34', 'XB21']","['CC07', 'MO04', 'UV03', 'XB50', 'YK13', 'CC02']","['CC21', 'UV34', 'XB21', 'CC07', 'MO04', 'UV03', 'XB50', 'YK13', 'CC02']"
Jiahao,24319152517,3,10,"['MS01', 'SJ18', 'SP01', 'MO12', 'UV01', 'XB07', 'XN09', 'YK01', 'ZG01']",['CC02'],"['MS01', 'SJ18', 'SP01', 'MO12', 'UV01', 'XB07', 'XN09', 'YK01', 'ZG01', 'CC02']"
Jiahao,24291960195,3,16,"['CC38', 'DK01', 'FD01', 'FP01', 'MO01', 'QT14', 'RG01', 'SP02', 'UV60', 'WD01']","['MS01', 'SJ18', 'SP01', 'MO12', 'UV01', 'XN09']","['CC38', 'DK01', 'FD01', 'FP01', 'MO01', 'QT14', 'RG01', 'SP02', 'UV60', 'WD01', 'MS01', 'SJ18', 'SP01', 'MO12', 'UV01', 'XN09']"
Jiahao,23969324559,3,8,['CC06'],"['CC40', 'FP01', 'QT14', 'SP02', 'UV60', 'YK01', 'CC08,CC40,CC46,CC47']","['CC06', 'CC40', 'FP01', 'QT14', 'SP02', 'UV60', 'YK01', 'CC08,CC40,CC46,CC47']"
Jiahao,23924620234,3,bundle_index = 1 does not exist,[],[],[]
Jiahao,23896264169,3,3,"['CC01', 'SJ01']",['CC33'],"['CC01', 'SJ01', 'CC33']"
Jiahao,20728727154,3,2,['CC01'],['CC33'],"['CC01', 'CC33']"
Jiahao,20373091017,3,bundle_index = 1 does not exist,[],[],[]
Jiahao,20186366493,3,6,"['CC06', 'XB35']","['CC08', 'XB05', 'DC21', 'MO09']","['CC06', 'XB35', 'CC08', 'XB05', 'DC21', 'MO09']"
Jiahao,20167630571,3,bundle_index = 1 does not exist,[],[],[]
Jiahao,19999809846,3,4,['CC01'],"['CC07', 'SJ01', 'CC33']","['CC01', 'CC07', 'SJ01', 'CC33']"
Jiahao,18999829018,3,bundle_index = 1 does not exist,[],[],[]
Jiahao,18820622609,3,bundle_index = 2 does not exist,[],[],[]
Jiahao,18352298789,3,23,"['BU04', 'FP01', 'FW06', 'FW07', 'JZ01', 'MO09', 'ND01', 'QT01', 'UV02', 'WD01']","['BU01', 'DC01', 'GJ01', 'JB01', 'JZ03', 'QC02', 'SJ28', 'SP01', 'MO08', 'UV01', 'XB07', 'YK01', 'ZG01']","['BU04', 'FP01', 'FW06', 'FW07', 'JZ01', 'MO09', 'ND01', 'QT01', 'UV02', 'WD01', 'BU01', 'DC01', 'GJ01', 'JB01', 'JZ03', 'QC02', 'SJ28', 'SP01', 'MO08', 'UV01', 'XB07', 'YK01', 'ZG01']"
Jiahao,18053093587,3,14,[],"['BU04', 'CC07', 'DC21', 'DK01', 'FD01', 'FP01', 'FW06', 'FW07', 'JZ01', 'MO09', 'ND01', 'QT01', 'UV02', 'WD01']","['BU04', 'CC07', 'DC21', 'DK01', 'FD01', 'FP01', 'FW06', 'FW07', 'JZ01', 'MO09', 'ND01', 'QT01', 'UV02', 'WD01']"
Jiahao,16831203027,3,20,"['FD05', 'MO16', 'FH03', 'SJ23', 'QC02', 'FW15', 'FW16', 'CC05', 'XB35', 'MO15', 'ZG18', 'UV12', 'SP02', 'FD01', 'JB01', 'DK09']","['XN01', 'YK01', 'XB60', 'ND01']","['FD05', 'MO16', 'FH03', 'SJ23', 'QC02', 'FW15', 'FW16', 'CC05', 'XB35', 'MO15', 'ZG18', 'UV12', 'SP02', 'FD01', 'JB01', 'DK09', 'XN01', 'YK01', 'XB60', 'ND01']"
Jiahao,5.23084E+11,4,13,"['CC06', 'UV48', 'XB35', 'CC16', 'DK01', 'MO01', 'UV12', 'XB07']","['CC08', 'UV30', 'XB09', 'ZG07', 'FW03']","['CC06', 'UV48', 'XB35', 'CC16', 'DK01', 'MO01', 'UV12', 'XB07', 'CC08', 'UV30', 'XB09', 'ZG07', 'FW03']"
Jiahao,5.21514E+11,4,20,"['CC05', 'JC04', 'JD02', 'MO05', 'UV01', 'WJ01', 'XB07', 'ZG01']","['CC06', 'GJ02', 'DC03', 'DC02', 'DK01', 'GJ04', 'PZ08', 'SJ29', 'JD03', 'UV02', 'XB05', 'YK01']","['CC05', 'JC04', 'JD02', 'MO05', 'UV01', 'WJ01', 'XB07', 'ZG01', 'CC06', 'GJ02', 'DC03', 'DC02', 'DK01', 'GJ04', 'PZ08', 'SJ29', 'JD03', 'UV02', 'XB05', 'YK01']"
Jiahao,5.23777E+11,4,bundle_index = 1 does not exist,[],[],[]
Jiahao,5.22864E+11,4,15,"['CC07', 'JZ02', 'MO04', 'MO10', 'QC02', 'UV38', 'XB06']","['CC16', 'DC02', 'MO01', 'QT15', 'UV12', 'XB07', 'YK05', 'ZG18']","['CC07', 'JZ02', 'MO04', 'MO10', 'QC02', 'UV38', 'XB06', 'CC16', 'DC02', 'MO01', 'QT15', 'UV12', 'XB07', 'YK05', 'ZG18']"
