Author,ItemID(LIsting_id),two_bundle_index,diff,only_in_one,only_in_other,bundle_price,bundle_price_diff
Jiahao,44069100271,"[1, 8]",3,['CC06'],"['CC08', 'DC02']","['3450', '3850']",400.0
Jiahao,5.21E+11,"[1, 8]",bundle_index = 1 does not exist,[],[],0,0
Jiahao,42681494957,"[1, 8]",bundle_index = 8 does not exist,[],[],0,0
Jiahao,37443266749,"[1, 8]",bundle_index = 8 does not exist,[],[],0,0
Jiahao,43452978184,"[1, 8]",bundle_index = 8 does not exist,[],[],0,0
Jiahao,25673844634,"[1, 8]",bundle_index = 8 does not exist,[],[],0,0
Jiahao,23924620234,"[1, 8]",bundle_index = 8 does not exist,[],[],0,0
Jiahao,40452911197,"[1, 8]",7,['CC24'],"['QT02', 'CC23', 'DC21', 'JB01', 'QC02', 'QT19']","['3050', '3280']",230.0
Jiahao,43853759026,"[1, 8]",4,['CC06'],"['CC08', 'DC02', 'SJ01']","['3450', '3850']",400.0
Jiahao,44881048637,"[1, 8]",bundle_index = 8 does not exist,[],[],0,0
Jiahao,36513357018,"[1, 8]",bundle_index = 8 does not exist,[],[],0,0
Jiahao,18352298789,"[1, 8]",8,['CC16'],"['CC15', 'DC13', 'QT15', 'SJ16', 'PZ06', 'YK05', 'ZG18']","['3620', '4300']",680.0
Jiahao,37241107923,"[1, 8]",bundle_index = 8 does not exist,[],[],0,0
Jiahao,23969324559,"[1, 8]",13,"['CC24', 'UV36', 'XB35']","['CC18', 'DC02', 'GJ03', 'JB01', 'ND03', 'RG03', 'UV54', 'WD04', 'XB06', 'XN01']","['3100', '3480']",380.0
Jiahao,24291960195,"[1, 8]",bundle_index = 8 does not exist,[],[],0,0
Jiahao,43426870825,"[1, 8]",bundle_index = 8 does not exist,[],[],0,0
Jiahao,38631814095,"[1, 8]",bundle_index = 8 does not exist,[],[],0,0
Jiahao,36574928690,"[1, 8]",bundle_index = 8 does not exist,[],[],0,0
Jiahao,44331296085,"[1, 8]",bundle_index = 8 does not exist,[],[],0,0
Jiahao,37908516066,"[1, 8]",bundle_index = 1 does not exist,[],[],0,0
Jiahao,41583985792,"[1, 8]",bundle_index = 1 does not exist,[],[],0,0
Jiahao,35557065616,"[1, 8]",bundle_index = 1 does not exist,[],[],0,0
Jiahao,43473279886,"[1, 8]",bundle_index = 8 does not exist,[],[],0,0
