Author,ItemID(LIsting_id),camera_model,two_bundle_index,deltaN,only_in_one,only_in_other,in_both
Jiahao,44231886556,700d,"[1, 2]",9,"['CC02', 'FW20']","['CC33', 'DC21', 'FD01', 'FW02', 'JB01', 'JD03', 'UV01']","['CC02', 'FW20', 'CC33', 'DC21', 'FD01', 'FW02', 'JB01', 'JD03', 'UV01']"
Jiahao,44799642380,700d,"[1, 2]",2,['CC01'],['CC02'],"['CC01', 'CC02']"
Jiahao,45293052304,700d,"[1, 2]",2,['CC38'],['CC39'],"['CC38', 'CC39']"
Jiahao,45410114111,700d,"[1, 2]",2,['CC06'],['CC07'],"['CC06', 'CC07']"
Jiahao,522145128789,700d,"[1, 2]",3,['CC01'],"['CC06', 'SJ01']","['CC01', 'CC06', 'SJ01']"
Jiahao,523084126902,700d,"[1, 2]",2,['CC39'],['CC40'],"['CC39', 'CC40']"
Jiahao,18820622609,700d,"[1, 2]",3,['CC07'],"['CC08', 'DC20']","['CC07', 'CC08', 'DC20']"
Jiahao,20186366493,700d,"[1, 2]",3,['CC01'],"['CC02', 'SJ01']","['CC01', 'CC02', 'SJ01']"
Jiahao,20373091017,700d,"[1, 2]",2,['CC25'],['CC26'],"['CC25', 'CC26']"
Jiahao,20728727154,700d,"[1, 2]",6,"['CC17', 'YK05']","['CC16', 'DC22', 'RG01', 'YK01']","['CC17', 'YK05', 'CC16', 'DC22', 'RG01', 'YK01']"
Jiahao,23896264169,700d,"[1, 2]",4,['UV34'],"['DC06', 'UV41', 'YK02']","['UV34', 'DC06', 'UV41', 'YK02']"
Jiahao,24319152517,700d,"[1, 2]",4,['CC06'],"['CC16', 'FD01', 'QT05']","['CC06', 'CC16', 'FD01', 'QT05']"
Jiahao,35674260254,700d,"[1, 2]",2,['CC05'],['CC06'],"['CC05', 'CC06']"
Jiahao,36982442137,700d,"[1, 2]",4,"['CC06', 'MO02', 'UV61']",['CC07'],"['CC06', 'MO02', 'UV61', 'CC07']"
Jiahao,37745552927,700d,"[1, 2]",5,['CC02'],"['CC33', 'DC12', 'FD01', 'UV01']","['CC02', 'CC33', 'DC12', 'FD01', 'UV01']"
Jiahao,37870465778,700d,"[1, 2]",5,"['CC19', 'MO01', 'QT01', 'XB07', 'YK01']",[],"['CC19', 'MO01', 'QT01', 'XB07', 'YK01']"
Jiahao,40148868087,700d,"[1, 2]",2,['CC01'],['CC02'],"['CC01', 'CC02']"
Jiahao,40175359932,700d,"[1, 2]",2,['CC24'],['CC06'],"['CC24', 'CC06']"
Jiahao,42981617542,700d,"[1, 2]",2,[],"['DC08', 'JB01']","['DC08', 'JB01']"
Jiahao,44069100271,700d,"[1, 2]",2,['CC06'],['CC07'],"['CC06', 'CC07']"
Jiahao,522086451970,700d,"[1, 2]",2,['CC06'],['CC07'],"['CC06', 'CC07']"
Jiahao,522743875767,700d,"[1, 2]",2,['CC01'],['CC02'],"['CC01', 'CC02']"
Jiahao,42681494957,700d,"[1, 2]",7,"['CC24', 'XB35']","['CC20', 'DC05', 'JB01', 'XB05', 'XN01']","['CC24', 'XB35', 'CC20', 'DC05', 'JB01', 'XB05', 'XN01']"
Jiahao,37443266749,700d,"[1, 2]",2,['CC06'],['CC07'],"['CC06', 'CC07']"
Jiahao,43452978184,700d,"[1, 2]",5,"['CC38', 'UV01']","['CC39', 'UV10', 'YK01']","['CC38', 'UV01', 'CC39', 'UV10', 'YK01']"
Jiahao,25673844634,700d,"[1, 2]",8,['CC06'],"['CC07', 'FW01', 'SP02', 'UV01', 'XN01', 'XN07', 'ZG01']","['CC06', 'CC07', 'FW01', 'SP02', 'UV01', 'XN01', 'XN07', 'ZG01']"
Jiahao,23924620234,700d,"[1, 2]",4,['CC06'],"['CC38', 'ND01', 'YK01']","['CC06', 'CC38', 'ND01', 'YK01']"
Jiahao,40452911197,700d,"[1, 2]",2,['CC24'],['CC21'],"['CC24', 'CC21']"
Jiahao,43853759026,700d,"[1, 2]",2,['CC06'],['CC07'],"['CC06', 'CC07']"
Jiahao,44881048637,700d,"[1, 2]",4,['CC21'],"['CC22', 'MO04', 'YK13']","['CC21', 'CC22', 'MO04', 'YK13']"
Jiahao,522863996797,700d,"[1, 2]",1,[],['CC06'],['CC06']
Jiahao,36513357018,700d,"[1, 2]",11,[],"['BU01', 'CC05', 'DK01', 'FD01', 'QT01', 'SP01', 'JD03', 'UV29', 'WD01', 'YK01', 'ZG01']","['BU01', 'CC05', 'DK01', 'FD01', 'QT01', 'SP01', 'JD03', 'UV29', 'WD01', 'YK01', 'ZG01']"
Jiahao,18352298789,700d,"[1, 2]",2,[],"['DC13', 'YK05']","['DC13', 'YK05']"
Jiahao,37241107923,700d,"[1, 2]",3,['MO01'],"['DC15', 'MO04']","['MO01', 'DC15', 'MO04']"
Jiahao,23969324559,700d,"[1, 2]",7,"['CC24', 'XB35']","['CC20', 'DC14', 'JB01', 'XB05', 'XN01']","['CC24', 'XB35', 'CC20', 'DC14', 'JB01', 'XB05', 'XN01']"
Jiahao,24291960195,700d,"[1, 2]",3,['CC05'],"['CC29', 'UV36']","['CC05', 'CC29', 'UV36']"
Jiahao,43426870825,700d,"[1, 2]",4,['CC20'],"['CC21', 'DK01', 'WD01']","['CC20', 'CC21', 'DK01', 'WD01']"
Jiahao,38631814095,700d,"[1, 2]",7,"['CC07', 'XB04', 'YK05']","['CC08', 'FD05', 'XB06', 'XN07']","['CC07', 'XB04', 'YK05', 'CC08', 'FD05', 'XB06', 'XN07']"
Jiahao,36574928690,700d,"[1, 2]",2,[],"['UV34', 'ZG01']","['UV34', 'ZG01']"
Jiahao,44331296085,700d,"[1, 2]",3,['CC02'],"['CC33', 'SJ01']","['CC02', 'CC33', 'SJ01']"
Jiahao,43473279886,700d,"[1, 2]",2,['DC07'],['CC02'],"['DC07', 'CC02']"
Jiahao,44021641588,700d,"[1, 3]",1,[],['CC07'],['CC07']
Jiahao,18999829018,700d,"[1, 3]",2,['CC38'],['CC40'],"['CC38', 'CC40']"
Jiahao,24596036343,700d,"[1, 3]",5,['CC21'],"['CC22', 'DC08', 'JB01', 'ZG09']","['CC21', 'CC22', 'DC08', 'JB01', 'ZG09']"
Jiahao,45219159638,700d,"[1, 3]",1,[],['CC02'],['CC02']
Jiahao,40565901878,700d,"[1, 3]",6,[],"['DK15', 'QC02', 'UV19', 'CC07', 'XB65', 'DC20']","['DK15', 'QC02', 'UV19', 'CC07', 'XB65', 'DC20']"
Jiahao,36613205733,700d,"[1, 3]",7,"['CC24', 'XB35']","['CC16', 'XB36', 'DC14', 'EJ01', 'YD01']","['CC24', 'XB35', 'CC16', 'XB36', 'DC14', 'EJ01', 'YD01']"
Jiahao,41599133465,700d,"[1, 3]",13,"['UV01', 'MO04', 'XB07', 'DK01', 'MO01', 'FD01', 'ZG01', 'SP02', 'QT04', 'RG01', 'YK01', 'FW07', 'JC04']",[],"['UV01', 'MO04', 'XB07', 'DK01', 'MO01', 'FD01', 'ZG01', 'SP02', 'QT04', 'RG01', 'YK01', 'FW07', 'JC04']"
Jiahao,43859660891,700d,"[1, 3]",2,['CC24'],['CC22'],"['CC24', 'CC22']"
Jiahao,38708270318,700d,"[1, 3]",2,['CC05'],['CC39'],"['CC05', 'CC39']"
Jiahao,35540978058,700d,"[1, 3]",5,['CC06'],"['CC45', 'UV21', 'DC15', 'PZ09']","['CC06', 'CC45', 'UV21', 'DC15', 'PZ09']"
Jiahao,26519380192,700d,"[1, 3]",5,"['CC07', 'UV25']","['CC08', 'UV26', 'DC20']","['CC07', 'UV25', 'CC08', 'UV26', 'DC20']"
Jiahao,521513506795,700d,"[1, 3]",5,['XB35'],"['XB05', 'DC14', 'RG03', 'YK01']","['XB35', 'XB05', 'DC14', 'RG03', 'YK01']"
Jiahao,18053093587,700d,"[1, 3]",8,"['CC06', 'UV48', 'XB35']","['CC07', 'UV30', 'XB08', 'ZG07', 'FW03']","['CC06', 'UV48', 'XB35', 'CC07', 'UV30', 'XB08', 'ZG07', 'FW03']"
Jiahao,42468840454,700d,"[1, 3]",5,['CC38'],"['CC07', 'MO09', 'YK02', 'GJ04']","['CC38', 'CC07', 'MO09', 'YK02', 'GJ04']"
Jiahao,522033862841,700d,"[1, 3]",2,['CC01'],['CC33'],"['CC01', 'CC33']"
Jiahao,521870063421,700d,"[1, 3]",3,"['CC01', 'SJ01']",['CC33'],"['CC01', 'SJ01', 'CC33']"
Jiahao,522097809685,700d,"[1, 3]",4,['XB35'],"['XB05', 'DC21', 'MO09']","['XB35', 'XB05', 'DC21', 'MO09']"
Jiahao,523776961013,700d,"[1, 3]",4,[],"['XN01', 'YK01', 'XB60', 'ND01']","['XN01', 'YK01', 'XB60', 'ND01']"
Jiahao,16831203027,700d,"[1, 3]",2,['CC05'],['CC07'],"['CC05', 'CC07']"
Jiahao,19999809846,700d,"[1, 3]",6,"['CC06', 'XB35']","['CC07', 'GJ01', 'QT01', 'XB60']","['CC06', 'XB35', 'CC07', 'GJ01', 'QT01', 'XB60']"
Jiahao,20167630571,700d,"[1, 3]",6,"['CC06', 'XB35']","['CC07', 'DC07', 'SP02', 'XB06']","['CC06', 'XB35', 'CC07', 'DC07', 'SP02', 'XB06']"
Jiahao,27462844289,700d,"[1, 3]",3,['CC06'],"['CC07', 'DC02']","['CC06', 'CC07', 'DC02']"
Jiahao,36910165248,700d,"[1, 3]",5,[],"['FW01', 'ND01', 'XB60', 'XN01', 'YK01']","['FW01', 'ND01', 'XB60', 'XN01', 'YK01']"
Jiahao,37994506504,700d,"[1, 3]",2,['CC05'],['CC39'],"['CC05', 'CC39']"
Jiahao,38663832002,700d,"[1, 3]",2,['CC05'],['CC07'],"['CC05', 'CC07']"
Jiahao,39237426326,700d,"[1, 3]",3,['CC02'],"['CC33', 'DC10']","['CC02', 'CC33', 'DC10']"
Jiahao,41802068265,700d,"[1, 3]",5,"['CC02', 'XB35']","['QT04', 'WD01', 'XB07']","['CC02', 'XB35', 'QT04', 'WD01', 'XB07']"
Jiahao,43168072227,700d,"[1, 3]",5,"['CC38', 'XB65']","['CC07', 'WD01', 'XB06']","['CC38', 'XB65', 'CC07', 'WD01', 'XB06']"
Jiahao,43736454825,700d,"[1, 3]",6,"['CC06', 'XB65']","['CC07', 'QT04', 'WD05', 'XB05']","['CC06', 'XB65', 'CC07', 'QT04', 'WD05', 'XB05']"
Jiahao,44231886556,700d,"[1, 3]",14,"['BU01', 'CC02', 'FW20', 'QC02']","['CC04', 'DC21', 'FD01', 'FW02', 'JD03', 'PZ01', 'QT03', 'RG02', 'SJ01', 'UV01']","['BU01', 'CC02', 'FW20', 'QC02', 'CC04', 'DC21', 'FD01', 'FW02', 'JD03', 'PZ01', 'QT03', 'RG02', 'SJ01', 'UV01']"
Jiahao,44799642380,700d,"[1, 3]",2,['CC01'],['CC33'],"['CC01', 'CC33']"
Jiahao,45293052304,700d,"[1, 3]",2,['CC38'],['CC40'],"['CC38', 'CC40']"
Jiahao,45410114111,700d,"[1, 3]",2,['CC06'],"['CC08,CC40,CC46,CC47']","['CC06', 'CC08,CC40,CC46,CC47']"
Jiahao,522145128789,700d,"[1, 3]",3,['CC01'],"['CC07', 'SJ01']","['CC01', 'CC07', 'SJ01']"
Jiahao,523084126902,700d,"[1, 3]",1,[],['DC21'],['DC21']
Jiahao,18820622609,700d,"[1, 3]",5,"['CC07', 'UV38']","['CC43', 'DC20', 'UV39']","['CC07', 'UV38', 'CC43', 'DC20', 'UV39']"
Jiahao,20186366493,700d,"[1, 3]",3,['CC01'],"['CC33', 'SJ01']","['CC01', 'CC33', 'SJ01']"
Jiahao,20373091017,700d,"[1, 3]",2,['CC25'],['CC27'],"['CC25', 'CC27']"
Jiahao,20728727154,700d,"[1, 3]",8,"['CC17', 'UV53', 'YK05']","['CC15', 'DC22', 'UV65', 'XN07', 'YK01']","['CC17', 'UV53', 'YK05', 'CC15', 'DC22', 'UV65', 'XN07', 'YK01']"
Jiahao,23896264169,700d,"[1, 3]",5,"['CC19', 'UV34']","['CC07', 'UV03', 'YK02']","['CC19', 'UV34', 'CC07', 'UV03', 'YK02']"
Jiahao,24319152517,700d,"[1, 3]",12,"['CC06', 'UV16', 'XB05']","['CC16', 'DC20', 'FD01', 'JB03', 'QT05', 'UV47', 'WD01', 'XB13', 'YK05']","['CC06', 'UV16', 'XB05', 'CC16', 'DC20', 'FD01', 'JB03', 'QT05', 'UV47', 'WD01', 'XB13', 'YK05']"
Jiahao,35674260254,700d,"[1, 3]",2,['CC05'],['CC07'],"['CC05', 'CC07']"
Jiahao,36982442137,700d,"[1, 3]",10,"['CC06', 'DK05', 'MO02', 'UV61', 'XB35']","['CC07', 'DK01', 'UV62', 'XB08', 'ZG07']","['CC06', 'DK05', 'MO02', 'UV61', 'XB35', 'CC07', 'DK01', 'UV62', 'XB08', 'ZG07']"
Jiahao,37745552927,700d,"[1, 3]",7,['CC02'],"['CC04', 'DC12', 'FD01', 'RG02', 'SJ03', 'UV01']","['CC02', 'CC04', 'DC12', 'FD01', 'RG02', 'SJ03', 'UV01']"
Jiahao,37870465778,700d,"[1, 3]",5,"['CC19', 'MO01', 'QT01', 'XB07', 'YK01']",[],"['CC19', 'MO01', 'QT01', 'XB07', 'YK01']"
Jiahao,40148868087,700d,"[1, 3]",2,['CC01'],['CC33'],"['CC01', 'CC33']"
Jiahao,40175359932,700d,"[1, 3]",2,['CC24'],['CC07'],"['CC24', 'CC07']"
Jiahao,42981617542,700d,"[1, 3]",5,['CC21'],"['CC22', 'DC08', 'JB01', 'ZG09']","['CC21', 'CC22', 'DC08', 'JB01', 'ZG09']"
Jiahao,44069100271,700d,"[1, 3]",2,['CC06'],['CC08'],"['CC06', 'CC08']"
Jiahao,522086451970,700d,"[1, 3]",2,['CC06'],['CC08'],"['CC06', 'CC08']"
Jiahao,522743875767,700d,"[1, 3]",2,['CC01'],['CC33'],"['CC01', 'CC33']"
Jiahao,42681494957,700d,"[1, 3]",9,"['CC24', 'XB35']","['CC19', 'DC05', 'JB01', 'ND03', 'RG03', 'XB05', 'XN01']","['CC24', 'XB35', 'CC19', 'DC05', 'JB01', 'ND03', 'RG03', 'XB05', 'XN01']"
Jiahao,37443266749,700d,"[1, 3]",2,['CC06'],['CC08'],"['CC06', 'CC08']"
Jiahao,43452978184,700d,"[1, 3]",5,"['CC38', 'UV01']","['CC39', 'SJ09', 'UV10']","['CC38', 'UV01', 'CC39', 'SJ09', 'UV10']"
Jiahao,25673844634,700d,"[1, 3]",8,['CC06'],"['CC08', 'FW01', 'SP02', 'UV01', 'XN01', 'XN07', 'ZG01']","['CC06', 'CC08', 'FW01', 'SP02', 'UV01', 'XN01', 'XN07', 'ZG01']"
Jiahao,23924620234,700d,"[1, 3]",4,['CC06'],"['CC40', 'ND01', 'YK01']","['CC06', 'CC40', 'ND01', 'YK01']"
Jiahao,40452911197,700d,"[1, 3]",2,['CC24'],['CC22'],"['CC24', 'CC22']"
Jiahao,43853759026,700d,"[1, 3]",2,['CC06'],['CC08'],"['CC06', 'CC08']"
Jiahao,44881048637,700d,"[1, 3]",8,"['CC21', 'UV34', 'XB21']","['CC07', 'MO04', 'UV03', 'XB50', 'YK13']","['CC21', 'UV34', 'XB21', 'CC07', 'MO04', 'UV03', 'XB50', 'YK13']"
Jiahao,522863996797,700d,"[1, 3]",1,[],['CC07'],['CC07']
Jiahao,36513357018,700d,"[1, 3]",12,[],"['BU01', 'CC06', 'DC13', 'DK01', 'FD01', 'QT01', 'SP01', 'JD03', 'UV29', 'WD01', 'YK01', 'ZG01']","['BU01', 'CC06', 'DC13', 'DK01', 'FD01', 'QT01', 'SP01', 'JD03', 'UV29', 'WD01', 'YK01', 'ZG01']"
Jiahao,18352298789,700d,"[1, 3]",3,[],"['DC13', 'YK05', 'ZG18']","['DC13', 'YK05', 'ZG18']"
Jiahao,37241107923,700d,"[1, 3]",5,"['CC19', 'QT01', 'MO01', 'XB07', 'YK01']",[],"['CC19', 'QT01', 'MO01', 'XB07', 'YK01']"
Jiahao,23969324559,700d,"[1, 3]",9,"['CC24', 'XB35']","['CC19', 'DC14', 'JB01', 'ND03', 'RG03', 'XB05', 'XN01']","['CC24', 'XB35', 'CC19', 'DC14', 'JB01', 'ND03', 'RG03', 'XB05', 'XN01']"
Jiahao,24291960195,700d,"[1, 3]",7,"['CC05', 'XB35']","['CC29', 'DC15', 'UV36', 'XB63', 'ZG01']","['CC05', 'XB35', 'CC29', 'DC15', 'UV36', 'XB63', 'ZG01']"
Jiahao,43426870825,700d,"[1, 3]",5,['CC20'],"['CC21', 'DC08', 'DK01', 'WD01']","['CC20', 'CC21', 'DC08', 'DK01', 'WD01']"
Jiahao,38631814095,700d,"[1, 3]",10,"['CC07', 'UV45', 'XB04', 'YK05']","['CC08', 'FD05', 'PZ08', 'UV02', 'XB06', 'XN07']","['CC07', 'UV45', 'XB04', 'YK05', 'CC08', 'FD05', 'PZ08', 'UV02', 'XB06', 'XN07']"
Jiahao,36574928690,700d,"[1, 3]",7,"['CC17', 'ND01']","['CC16', 'DC07', 'UV31', 'XB60', 'ZG01']","['CC17', 'ND01', 'CC16', 'DC07', 'UV31', 'XB60', 'ZG01']"
Jiahao,44331296085,700d,"[1, 3]",10,"['CC02', 'DK06', 'XB07']","['CC33', 'DK15', 'QT01', 'SJ01', 'WD01', 'XB70', 'YK01']","['CC02', 'DK06', 'XB07', 'CC33', 'DK15', 'QT01', 'SJ01', 'WD01', 'XB70', 'YK01']"
Jiahao,43473279886,700d,"[1, 3]",2,['DC07'],['CC33'],"['DC07', 'CC33']"
Jiahao,44021641588,700d,"[1, 4]",1,[],['CC08'],['CC08']
Jiahao,18999829018,700d,"[1, 4]",1,[],['DC20'],['DC20']
Jiahao,24596036343,700d,"[1, 4]",8,"['CC21', 'MO03']","['CC23', 'FH02', 'DC08', 'JB01', 'ZG09', 'YK05']","['CC21', 'MO03', 'CC23', 'FH02', 'DC08', 'JB01', 'ZG09', 'YK05']"
Jiahao,45219159638,700d,"[1, 4]",1,[],['CC33'],['CC33']
Jiahao,40565901878,700d,"[1, 4]",6,"['JZ01', 'MO06', 'ZG01', 'SP01', 'FD01', 'BU01']",[],"['JZ01', 'MO06', 'ZG01', 'SP01', 'FD01', 'BU01']"
Jiahao,36613205733,700d,"[1, 4]",9,"['CC24', 'XB35']","['CC16', 'XB36', 'DC14', 'RG03', 'ND01', 'EJ01', 'YD01']","['CC24', 'XB35', 'CC16', 'XB36', 'DC14', 'RG03', 'ND01', 'EJ01', 'YD01']"
Jiahao,41599133465,700d,"[1, 4]",13,"['UV01', 'MO04', 'XB07', 'DK01', 'MO01', 'FD01', 'ZG01', 'SP02', 'QT04', 'RG01', 'YK01', 'FW07', 'JC04']",[],"['UV01', 'MO04', 'XB07', 'DK01', 'MO01', 'FD01', 'ZG01', 'SP02', 'QT04', 'RG01', 'YK01', 'FW07', 'JC04']"
Jiahao,43859660891,700d,"[1, 4]",2,['CC24'],['CC23'],"['CC24', 'CC23']"
Jiahao,38708270318,700d,"[1, 4]",4,['CC05'],"['CC40', 'XN01', 'PZ08']","['CC05', 'CC40', 'XN01', 'PZ08']"
Jiahao,35540978058,700d,"[1, 4]",5,['CC06'],"['CC46', 'UV22', 'DC15', 'PZ09']","['CC06', 'CC46', 'UV22', 'DC15', 'PZ09']"
Jiahao,26519380192,700d,"[1, 4]",9,"['CC07', 'UV25', 'XB44', 'DK12']","['CC08', 'UV27', 'XB39', 'DK17', 'DC02']","['CC07', 'UV25', 'XB44', 'DK12', 'CC08', 'UV27', 'XB39', 'DK17', 'DC02']"
Jiahao,521513506795,700d,"[1, 4]",7,"['CC05', 'XB35']","['CC06', 'XB05', 'DC14', 'RG03', 'YK01']","['CC05', 'XB35', 'CC06', 'XB05', 'DC14', 'RG03', 'YK01']"
Jiahao,18053093587,700d,"[1, 4]",8,"['CC06', 'UV48', 'XB35']","['CC08', 'UV30', 'XB09', 'ZG07', 'FW03']","['CC06', 'UV48', 'XB35', 'CC08', 'UV30', 'XB09', 'ZG07', 'FW03']"
Jiahao,42468840454,700d,"[1, 4]",4,[],"['MO09', 'YK02', 'SJ02', 'DC21']","['MO09', 'YK02', 'SJ02', 'DC21']"
Jiahao,522033862841,700d,"[1, 4]",2,['CC01'],['CC04'],"['CC01', 'CC04']"
Jiahao,521870063421,700d,"[1, 4]",3,['MO06'],"['DC04', 'SJ07']","['MO06', 'DC04', 'SJ07']"
Jiahao,522097809685,700d,"[1, 4]",8,"['CC05', 'XB35']","['CC06', 'XB05', 'DC21', 'MO09', 'UV20', 'PZ08']","['CC05', 'XB35', 'CC06', 'XB05', 'DC21', 'MO09', 'UV20', 'PZ08']"
Jiahao,523776961013,700d,"[1, 4]",6,['CC02'],"['CC33', 'XN01', 'YK01', 'XB60', 'ND01']","['CC02', 'CC33', 'XN01', 'YK01', 'XB60', 'ND01']"
Jiahao,16831203027,700d,"[1, 4]",10,"['BU01', 'CC05']","['CC06', 'GJ02', 'DC03', 'QT04', 'SJ02', 'WD01', 'XN01', 'YK01']","['BU01', 'CC05', 'CC06', 'GJ02', 'DC03', 'QT04', 'SJ02', 'WD01', 'XN01', 'YK01']"
Jiahao,19999809846,700d,"[1, 4]",7,['XB35'],"['DC21', 'GJ01', 'QT01', 'SJ02', 'XB60', 'XN06']","['XB35', 'DC21', 'GJ01', 'QT01', 'SJ02', 'XB60', 'XN06']"
Jiahao,20167630571,700d,"[1, 4]",8,"['CC06', 'WD01', 'XB35']","['CC08', 'DC07', 'ND01', 'SP02', 'XB06']","['CC06', 'WD01', 'XB35', 'CC08', 'DC07', 'ND01', 'SP02', 'XB06']"
Jiahao,27462844289,700d,"[1, 4]",3,['CC06'],"['CC08', 'DC02']","['CC06', 'CC08', 'DC02']"
Jiahao,36910165248,700d,"[1, 4]",7,['CC02'],"['CC33', 'FW01', 'ND01', 'XB60', 'XN01', 'YK01']","['CC02', 'CC33', 'FW01', 'ND01', 'XB60', 'XN01', 'YK01']"
Jiahao,37994506504,700d,"[1, 4]",4,['CC05'],"['CC46', 'PZ08', 'XN01']","['CC05', 'CC46', 'PZ08', 'XN01']"
Jiahao,38663832002,700d,"[1, 4]",4,['CC05'],"['CC08', 'PZ08', 'XN01']","['CC05', 'CC08', 'PZ08', 'XN01']"
Jiahao,39237426326,700d,"[1, 4]",3,['CC02'],"['CC04', 'DC10']","['CC02', 'CC04', 'DC10']"
Jiahao,41802068265,700d,"[1, 4]",9,"['CC02', 'XB35']","['CC33', 'DC10', 'GJ04', 'QT04', 'SJ28', 'WD01', 'XB07']","['CC02', 'XB35', 'CC33', 'DC10', 'GJ04', 'QT04', 'SJ28', 'WD01', 'XB07']"
Jiahao,43168072227,700d,"[1, 4]",12,"['CC38', 'DK01', 'WJ01', 'XB65']","['CC06', 'DC07', 'DK09', 'ND01', 'QT04', 'SJ01', 'WD01', 'XB06']","['CC38', 'DK01', 'WJ01', 'XB65', 'CC06', 'DC07', 'DK09', 'ND01', 'QT04', 'SJ01', 'WD01', 'XB06']"
Jiahao,43736454825,700d,"[1, 4]",11,"['CC06', 'SJ01', 'XB65']","['CC07', 'DC13', 'GJ04', 'WJ01', 'QT04', 'SJ02', 'WD05', 'XB05']","['CC06', 'SJ01', 'XB65', 'CC07', 'DC13', 'GJ04', 'WJ01', 'QT04', 'SJ02', 'WD05', 'XB05']"
Jiahao,44231886556,700d,"[1, 4]",17,"['BU01', 'CC02', 'FW20', 'QC02']","['CC04', 'DC21', 'FD01', 'FW01', 'GJ01', 'JD03', 'QT03', 'RG02', 'SJ01', 'SP01', 'UV01', 'WJ01', 'XN07']","['BU01', 'CC02', 'FW20', 'QC02', 'CC04', 'DC21', 'FD01', 'FW01', 'GJ01', 'JD03', 'QT03', 'RG02', 'SJ01', 'SP01', 'UV01', 'WJ01', 'XN07']"
Jiahao,44799642380,700d,"[1, 4]",2,['CC01'],['CC04'],"['CC01', 'CC04']"
Jiahao,45293052304,700d,"[1, 4]",3,[],"['DC01', 'FW15', 'SJ07']","['DC01', 'FW15', 'SJ07']"
Jiahao,45410114111,700d,"[1, 4]",4,['CC06'],"['CC07', 'DC21', 'PZ08']","['CC06', 'CC07', 'DC21', 'PZ08']"
